order_item_id,order_id,product_id,quantity,unit_price,discount_percent,discount_amount,sales_amount,cost_amount,profit_amount
1,200001,5543,2,1413.6,9.51,268.83,2558.37,2429.44,128.93
2,200001,5390,1,503.82,11.66,58.77,445.05,428.59,16.46
3,200002,5213,1,3296.36,14.25,469.62,2826.74,2609.6,217.14
4,200002,5139,1,4345.91,13.9,603.98,3741.93,3577.71,164.22
5,200003,5313,1,400.9,14.36,57.58,343.32,293.88,49.44
6,200003,5660,1,2052.49,14.63,300.38,1752.11,1700.28,51.83
7,200004,5289,2,3639.5,16.69,1214.88,6064.12,5230.26,833.86
8,200004,5987,2,307.54,2.85,17.5,597.58,505.44,92.14
9,200004,5325,1,687.31,4.41,30.3,657.01,579.03,77.98
10,200004,5272,1,1367.19,4.22,57.71,1309.48,1047,262.48
11,200005,5938,3,1162.73,19.64,685.07,2803.12,2040.12,763
12,200006,5523,2,436.98,15.54,135.85,738.11,744.22,-6.11
13,200006,5858,1,1289.91,14.41,185.84,1104.07,818.38,285.69
14,200006,5694,1,231.99,6.23,14.45,217.54,193.77,23.77
15,200006,5358,1,6522.81,5.49,357.91,6164.9,5501.76,663.14
16,200007,5144,2,1049.05,14.65,307.47,1790.63,1348,442.63
17,200007,5567,2,316.28,13.72,86.76,545.8,488.1,57.7
18,200007,5669,1,901.69,13.12,118.34,783.35,768.85,14.5
19,200008,5210,2,3797.22,6.33,480.66,7113.78,5922.62,1191.16
20,200008,5902,1,8861.17,9.52,843.89,8017.28,5385.08,2632.2
21,200009,5867,1,759.39,13.22,100.42,658.97,638.72,20.25
22,200010,5906,1,146.04,11.58,16.92,129.12,102.86,26.26
23,200010,5820,1,2632.04,11.52,303.26,2328.78,1838.53,490.25
24,200010,5381,2,1887.6,6.38,241.01,3534.19,2976.32,557.87
25,200011,5753,1,1093.98,4.78,52.28,1041.7,684.36,357.34
26,200011,5012,3,652.86,5.06,99.2,1859.38,1238.85,620.53
27,200011,5252,1,1433.44,6.44,92.38,1341.06,1216.47,124.59
28,200012,5787,1,858.35,12.01,103.11,755.24,666.87,88.37
29,200012,5786,2,431.92,16.7,144.28,719.56,706.5,13.06
30,200012,5257,5,3605.28,2.82,509.05,17517.35,12624.6,4892.75
