order_id,customer_id,order_date,order_status,shipping_city,shipping_state,shipping_region,shipping_cost,delivery_date,payment_id
200001,11966,7/14/2025,Shipped,Kolkata,West Bengal,East,217.25,7/17/2025,300001
200002,13541,12/25/2025,Delivered,Kochi,Kerala,South,142.2,12/28/2025,300002
200003,15343,1/23/2025,Delivered,Kochi,Kerala,South,118.72,1/29/2025,300003
200004,10758,12/6/2025,Delivered,Gurugram,Haryana,North,93.94,12/10/2025,300004
200005,10715,7/23/2025,Delivered,Patna,Bihar,East,343.24,8/1/2025,300005
200006,15015,12/16/2025,Delivered,Mumbai,Maharashtra,West,72.81,12/22/2025,300006
200007,13064,9/22/2025,Delivered,Kochi,Kerala,South,221.55,9/30/2025,300007
200008,16364,4/21/2025,Delivered,Mumbai,Maharashtra,West,151.7,4/24/2025,300008
200009,12102,5/11/2024,Delivered,Mumbai,Maharashtra,West,191.35,5/18/2024,300009
200010,13470,10/21/2024,Delivered,Gurugram,Haryana,North,139.35,10/26/2024,300010
200011,14128,9/14/2024,Delivered,Hyderabad,Telangana,South,155.62,9/20/2024,300011
200012,17538,9/14/2023,Delivered,Bhubaneswar,Odisha,East,300.19,9/24/2023,300012
200013,10055,12/28/2025,Shipped,Lucknow,Uttar Pradesh,North,117.29,1/1/2026,300013
200014,11730,6/6/2024,Delivered,Chennai,Tamil Nadu,South,86.87,6/14/2024,300014
200015,10734,4/25/2025,Delivered,Chennai,Tamil Nadu,South,52.61,5/1/2025,300015
200016,17939,12/24/2024,Delivered,Mumbai,Maharashtra,West,193.86,12/30/2024,300016
200017,11028,11/6/2025,Delivered,Chennai,Tamil Nadu,South,74.47,11/11/2025,300017
200018,16658,8/2/2025,Delivered,Gurugram,Haryana,North,247.59,8/6/2025,300018
200019,14165,12/25/2025,Processing,Ahmedabad,Gujarat,West,188.65,,300019
200020,16359,10/20/2025,Delivered,New Delhi,Delhi,North,231.25,10/24/2025,300020
200021,12400,1/3/2025,Shipped,New Delhi,Delhi,North,211.78,1/6/2025,300021
200022,13815,12/24/2025,Delivered,Hyderabad,Telangana,South,221.78,12/27/2025,300022
200023,17833,5/12/2025,Delivered,Kolkata,West Bengal,East,275.95,5/20/2025,300023
200024,10760,7/4/2025,Delivered,Hyderabad,Telangana,South,184.48,7/10/2025,300024
200025,14991,12/14/2025,Delivered,Kolkata,West Bengal,East,117.59,12/16/2025,300025
200026,17669,6/1/2025,Delivered,Ahmedabad,Gujarat,West,186.6,6/5/2025,300026
200027,10982,12/22/2023,Shipped,Patna,Bihar,East,212.1,12/28/2023,300027
200028,16774,8/26/2025,Delivered,Bhopal,Madhya Pradesh,Central,93.79,8/29/2025,300028
200029,12183,6/30/2023,Delivered,Bhubaneswar,Odisha,East,160.28,7/9/2023,300029
200030,11590,3/21/2025,Delivered,Mumbai,Maharashtra,West,199.32,3/25/2025,300030
200031,11303,1/22/2025,Delivered,Lucknow,Uttar Pradesh,North,155.45,1/27/2025,300031
200032,15964,1/26/2025,Cancelled,Bengaluru,Karnataka,South,119.1,,300032
200033,10296,11/13/2025,Delivered,Ludhiana,Punjab,North,181.88,11/16/2025,300033
200034,13352,12/10/2024,Delivered,Kolkata,West Bengal,East,109.64,12/13/2024,300034
200035,15649,3/19/2025,Delivered,Hyderabad,Telangana,South,275.85,3/29/2025,300035
200036,11079,4/27/2024,Delivered,Ahmedabad,Gujarat,West,223.97,4/28/2024,300036
200037,11782,6/24/2025,Delivered,Patna,Bihar,East,119.16,6/30/2025,300037
200038,11200,5/25/2025,Cancelled,Lucknow,Uttar Pradesh,North,125.87,,300038
200039,10213,7/16/2025,Delivered,Mumbai,Maharashtra,West,106.68,7/20/2025,300039
200040,13658,11/21/2024,Shipped,Chennai,Tamil Nadu,South,104.81,11/26/2024,300040
200041,13980,11/19/2025,Delivered,Jaipur,Rajasthan,North,125.36,11/25/2025,300041
200042,17559,5/8/2025,Delivered,Bhubaneswar,Odisha,East,149.74,5/15/2025,300042
200043,15905,7/24/2025,Delivered,Hyderabad,Telangana,South,121.48,7/31/2025,300043
200044,17765,11/4/2025,Delivered,Ahmedabad,Gujarat,West,57.76,11/5/2025,300044
200045,16149,8/27/2025,Delivered,Ludhiana,Punjab,North,224.4,8/30/2025,300045
200046,17846,5/17/2025,Delivered,Bengaluru,Karnataka,South,88.43,5/21/2025,300046
200047,11990,11/18/2024,Delivered,Mumbai,Maharashtra,West,69.2,11/26/2024,300047
200048,11312,1/4/2025,Delivered,Ludhiana,Punjab,North,222.4,1/9/2025,300048
200049,13125,1/30/2025,Delivered,Mumbai,Maharashtra,West,221.8,2/2/2025,300049
200050,13927,8/18/2025,Delivered,New Delhi,Delhi,North,143.61,8/23/2025,300050
200051,16658,9/3/2025,Delivered,Gurugram,Haryana,North,250.14,9/5/2025,300051
200052,14335,4/28/2025,Delivered,Bhubaneswar,Odisha,East,177.46,5/7/2025,300052
200053,17613,2/24/2025,Delivered,Jaipur,Rajasthan,North,193.05,3/4/2025,300053
200054,12284,11/17/2025,Delivered,Lucknow,Uttar Pradesh,North,231.08,11/21/2025,300054
200055,14652,12/1/2023,Delivered,Patna,Bihar,East,158.91,12/9/2023,300055
200056,15275,2/26/2025,Delivered,Chennai,Tamil Nadu,South,56.93,3/2/2025,300056
200057,11214,9/20/2025,Delivered,Chennai,Tamil Nadu,South,190.46,9/22/2025,300057
200058,16381,3/23/2024,Delivered,Lucknow,Uttar Pradesh,North,129.51,3/27/2024,300058
200059,15169,8/2/2023,Delivered,Mumbai,Maharashtra,West,100.28,8/9/2023,300059
200060,11495,8/20/2025,Delivered,Hyderabad,Telangana,South,236.89,8/25/2025,300060
200061,13289,10/19/2025,Delivered,Kolkata,West Bengal,East,184.89,10/24/2025,300061
200062,15177,12/29/2025,Delivered,Mumbai,Maharashtra,West,254.02,1/5/2026,300062
200063,15947,12/14/2025,Shipped,Kolkata,West Bengal,East,150.17,12/20/2025,300063
200064,13322,10/19/2024,Delivered,Hyderabad,Telangana,South,182.72,10/22/2024,300064
200065,15854,9/17/2024,Delivered,Bengaluru,Karnataka,South,248.18,9/23/2024,300065
200066,12102,9/30/2025,Delivered,Mumbai,Maharashtra,West,146.73,10/5/2025,300066
200067,12428,5/28/2025,Shipped,Jaipur,Rajasthan,North,284.47,6/1/2025,300067
200068,10091,10/26/2025,Delivered,Mumbai,Maharashtra,West,101.93,11/1/2025,300068
200069,13899,1/22/2025,Delivered,Mumbai,Maharashtra,West,48.59,1/28/2025,300069
200070,11453,10/4/2025,Delivered,Kochi,Kerala,South,278.52,10/6/2025,300070
200071,14849,12/21/2025,Delivered,Mumbai,Maharashtra,West,119.47,12/23/2025,300071
200072,17724,12/29/2025,Delivered,Chennai,Tamil Nadu,South,94.41,1/1/2026,300072
200073,17996,7/4/2024,Delivered,Bengaluru,Karnataka,South,273.3,7/12/2024,300073
200074,12997,5/19/2025,Delivered,Jaipur,Rajasthan,North,186.73,5/24/2025,300074
200075,15947,12/24/2025,Delivered,Kolkata,West Bengal,East,260.45,12/25/2025,300075
200076,17688,12/7/2025,Delivered,Jaipur,Rajasthan,North,247.02,12/11/2025,300076
200077,14198,2/1/2025,Delivered,Kochi,Kerala,South,113.3,2/9/2025,300077
200078,12665,12/20/2025,Delivered,Hyderabad,Telangana,South,251.07,12/23/2025,300078
200079,11214,6/5/2024,Delivered,Chennai,Tamil Nadu,South,69.66,6/8/2024,300079
200080,11365,6/20/2025,Shipped,Hyderabad,Telangana,South,197.39,6/21/2025,300080
200081,16890,2/22/2024,Delivered,Ahmedabad,Gujarat,West,127.87,2/28/2024,300081
200082,12083,9/10/2024,Delivered,Jaipur,Rajasthan,North,145.77,9/19/2024,300082
200083,12145,11/19/2025,Delivered,Bengaluru,Karnataka,South,148.41,11/24/2025,300083
