return_id,order_id,product_id,return_date,return_reason,refund_amount,return_status
1,215666,5211,3/8/2025,Late Delivery,2828.71,Approved
2,216559,5171,8/11/2024,Not as Expected,1212.27,Processed
3,211041,5167,6/23/2025,Poor Quality,2148.53,Processed
4,218569,5815,10/18/2025,Wrong Product,1120.47,Approved
5,206805,5038,7/5/2024,Wrong Product,1010.47,Rejected
6,218311,5387,9/19/2024,Poor Quality,2264.03,Rejected
7,216067,5874,9/16/2024,Not as Expected,351.4,Approved
8,217834,5891,3/28/2024,Damaged Product,806.8,Approved
9,219816,5689,1/3/2026,Not as Expected,335.47,Approved
10,200488,5066,9/2/2025,Changed Mind,406.94,Approved
11,200790,5702,12/23/2024,Not as Expected,732.72,Approved
12,215910,5298,2/7/2025,Not as Expected,9304.17,Approved
13,207585,5478,9/24/2025,Changed Mind,493.51,Processed
14,206246,5962,3/3/2025,Changed Mind,250.18,Processed
15,211034,5711,9/13/2025,Not as Expected,1008.75,Approved
16,218629,5035,11/29/2025,Changed Mind,454.54,Processed
17,203364,5514,11/5/2025,Not as Expected,8064.88,Processed
18,201498,5054,9/15/2025,Late Delivery,894.27,Approved
19,211761,5959,1/15/2026,Size Issue,989.22,Processed
20,202688,5397,12/15/2024,Size Issue,2832.12,Approved
21,209326,5424,1/6/2026,Not as Expected,6967.74,Approved
22,207084,5332,6/10/2024,Changed Mind,1375.72,Processed
23,213415,5013,7/4/2025,Size Issue,486.71,Approved
24,204013,5733,7/13/2025,Late Delivery,14965.34,Approved
25,201766,5793,7/25/2023,Size Issue,720.45,Approved
26,203254,5061,10/14/2025,Poor Quality,1719.5,Processed
27,212688,5679,2/19/2025,Size Issue,736.96,Approved
28,209634,5093,7/24/2025,Not as Expected,2966.27,Approved
29,215986,5702,11/13/2024,Not as Expected,1591.87,Approved
30,206317,5897,12/18/2025,Not as Expected,726.45,Approved
31,200457,5190,11/15/2025,Changed Mind,392.18,Approved
32,215779,5797,9/1/2025,Poor Quality,195.08,Approved
33,212027,5917,5/24/2023,Wrong Product,5182.78,Approved
34,215205,5394,1/16/2026,Not as Expected,523.09,Approved
35,217670,5091,12/14/2025,Not as Expected,1845.58,Approved
36,216336,5902,12/24/2025,Poor Quality,15037.61,Approved
37,207588,5916,10/23/2024,Changed Mind,3333.93,Rejected
38,207007,5164,11/23/2025,Damaged Product,443.56,Approved
39,209581,5880,10/30/2025,Size Issue,4128.86,Approved
40,213553,5655,11/16/2024,Poor Quality,934,Approved
41,206719,5002,9/12/2025,Poor Quality,2330.71,Approved
42,214825,5331,11/10/2024,Not as Expected,1022.99,Approved
43,209547,5272,10/6/2024,Poor Quality,1233.14,Rejected
44,214266,5253,8/22/2024,Not as Expected,415.51,Approved
45,218484,5683,9/8/2025,Not as Expected,764.05,Approved
46,210068,5032,7/20/2024,Not as Expected,1618.7,Processed
47,209402,5847,1/13/2026,Not as Expected,589.56,Approved
48,205968,5547,7/19/2025,Wrong Product,3007.9,Approved
49,210377,5769,12/25/2024,Changed Mind,1128.85,Approved
50,210035,5590,11/8/2025,Not as Expected,838.07,Approved
51,201218,5853,7/22/2023,Not as Expected,590.57,Approved
52,208296,5155,11/26/2025,Damaged Product,2142.63,Processed
53,216651,5669,9/2/2024,Size Issue,726,Approved
54,206393,5052,5/30/2025,Changed Mind,1590.1,Approved
55,218856,5995,10/26/2025,Not as Expected,3768.3,Approved
56,215510,5156,3/4/2025,Damaged Product,201.23,Approved
57,205802,5193,3/17/2024,Changed Mind,1093.77,Approved
58,209256,5335,2/7/2024,Not as Expected,7868.64,Approved
59,203355,5499,1/3/2025,Poor Quality,424.47,Approved
60,210471,5885,4/12/2025,Poor Quality,6719.91,Approved
